상가업소번호,상호명,업종코드,업종명,시도명,시군구코드,시군구명,행정동코드,행정동명,지번본번지,지번부번지,지번주소,경도,위도,code,y,x,area_code
20835033,노래방히트노래방,N02A01,노래방,서울특별시,11680,강남구,1168060000,대치1동,622,1.0,서울특별시 강남구 대치동 622-1,127.060384792992,37.493655927209204,301001,443801.7268018978,205340.0041098193,1001054.0
21104935,BYC좋은느낌,D05A07,셔츠/내의/속옷,서울특별시,11680,강남구,1168061000,대치2동,316,,서울특별시 강남구 대치동 316,127.065897098053,37.4996105819766,701007,444462.94300552923,205827.010759632,1000921.0
21107061,민피아노,R05A02,피아노/바이올린/기타,서울특별시,11680,강남구,1168061000,대치2동,316,,서울특별시 강남구 대치동 316,127.065897098053,37.4996105819766,203002,444462.94300552923,205827.010759632,1000921.0
21035660,한죽그리고삼계탕,Q05A01,삼계탕전문,서울특별시,11680,강남구,1168063000,대치4동,896,36.0,서울특별시 강남구 대치동 896-36,127.05309654497201,37.5039418666801,107001,444942.9441371485,204694.83892488058,1001082.0
21034925,레포츠당구장,N01A03,당구장,서울특별시,11680,강남구,1168061000,대치2동,995,8.0,서울특별시 강남구 대치동 995-8,127.064265888931,37.5079775006154,303001,445391.4635229833,205682.1354614369,1001091.0
20850637,뮤즈노래방,N02A01,노래방,서울특별시,11680,강남구,1168064000,역삼1동,818,13.0,서울특별시 강남구 역삼동 818-13,127.02823725528799,37.4995410611644,301001,444453.5617797198,202496.9071483764,1001085.0
20865821,삼성힐스테이트1단지관리사무소,D05A02,캐쥬얼/스포츠의류,서울특별시,11680,강남구,1168059000,삼성2동,16,2.0,서울특별시 강남구 삼성동 16-2,127.047168038012,37.5165540130619,701002,446342.4522074452,204169.9338958771,1000917.0
20850251,산정,Q06A01,정통양식/경양식,서울특별시,11680,강남구,1168064000,역삼1동,668,16.0,서울특별시 강남구 역삼동 668-16,127.03681611906299,37.5025757936844,104001,444790.63998999726,203255.36990826874,1001081.0
20894571,토야이자까야,Q09A05,로바다야끼,서울특별시,11680,강남구,1168058000,삼성1동,145,,서울특별시 강남구 삼성동 145,127.05383203299101,37.5128772194951,110005,445934.6909432611,204759.3040415297,1000935.0
20855909,에스엔티어학원,R04A01,학원-외국어/어학,서울특별시,11680,강남구,1168061000,대치2동,994,8.0,서울특별시 강남구 대치동 994-8,127.068103139956,37.4986458524483,202001,444356.0093940096,206022.15951752753,1000921.0
20858855,ooripatent&lawoffice,D05A02,캐쥬얼/스포츠의류,서울특별시,11680,강남구,1168064000,역삼1동,648,23.0,서울특별시 강남구 역삼동 648-23,127.031381197551,37.499548861088904,701002,444454.5155193503,202774.91306202387,1001085.0
20851755,삼정카센타,F14A01,자동차정비/카센타,서울특별시,11680,강남구,1168056500,청담동,71,2.0,서울특별시 강남구 청담동 71-2,127.055319701683,37.52138606854229,402001,446879.14203477,204890.27394047356,1001130.0
20865563,신세계피아노,R05A02,피아노/바이올린/기타,서울특별시,11680,강남구,1168061000,대치2동,316,,서울특별시 강남구 대치동 316,127.065897098053,37.4996105819766,203002,444462.94300552923,205827.010759632,1000921.0
20855169,매스홀릭,R01A01,학원-입시,서울특별시,11680,강남구,1168065600,도곡2동,467,24.0,서울특별시 강남구 도곡동 467-24,127.051841563354,37.486910828653606,201001,443052.6590915499,204584.9134872511,1000901.0
20883642,아프로디테,D05A03,여성의류전문점,서울특별시,11680,강남구,1168061000,대치2동,316,,서울특별시 강남구 대치동 316,127.065897098053,37.4996105819766,701003,444462.94300552923,205827.010759632,1000921.0
20847026,원더랜드대치점,R04A01,학원-외국어/어학,서울특별시,11680,강남구,1168061000,대치2동,962,23.0,서울특별시 강남구 대치동 962-23,127.059728041646,37.5018413138541,202001,444710.16133815795,205281.34916880284,1000932.0
20884221,제인네일,F01A02,발/네일케어,서울특별시,11680,강남구,1168061000,대치2동,63,,서울특별시 강남구 대치동 63,127.06845896889799,37.5009553666559,502001,444612.358397841,206053.43798081527,1000921.0
20850194,프라다청담매장,D05A01,일반의류,서울특별시,11680,강남구,1168056500,청담동,100,19.0,서울특별시 강남구 청담동 100-19,127.046330460554,37.5263687305695,701001,447431.72588751843,204095.35060252293,1000910.0
21016004,리바이스키즈,D05A05,아동복판매,서울특별시,11680,강남구,1168063000,대치4동,937,,서울특별시 강남구 대치동 937,127.05325256561702,37.496959928714,701005,444168.04717949784,204709.07284383397,1001071.0
21046487,곰수학,R01A01,학원-입시,서울특별시,11680,강남구,1168061000,대치2동,987,17.0,서울특별시 강남구 대치동 987-17,127.06322301866301,37.5000129036481,201001,444507.43330591725,205590.52284002551,1000921.0
21044349,은마알뜰장,D03A02,수퍼마켓,서울특별시,11680,강남구,1168061000,대치2동,991,1.0,서울특별시 강남구 대치동 991-1,127.063884759838,37.4995495995986,120001,444456.0520682037,205649.0724993081,1001068.0
21050581,안골,Q05A09,오리고기전문,서울특별시,11680,강남구,1168061000,대치2동,995,8.0,서울특별시 강남구 대치동 995-8,127.064265888931,37.5079775006154,107009,445391.4635229833,205682.1354614369,1001091.0
21047542,하나매쓰,R01A01,학원-입시,서울특별시,11680,강남구,1168061000,대치2동,316,,서울특별시 강남구 대치동 316,127.065897098053,37.4996105819766,201001,444462.94300552923,205827.010759632,1000921.0
20924745,명문수학,R01A01,학원-입시,서울특별시,11680,강남구,1168061000,대치2동,316,,서울특별시 강남구 대치동 316,127.065897098053,37.4996105819766,201001,444462.94300552923,205827.010759632,1000921.0
21034390,하버드영재수학,R01A01,학원-입시,서울특별시,11680,강남구,1168060000,대치1동,629,,서울특별시 강남구 대치동 629,127.05850774773701,37.492739924937,201001,443699.9576999955,205174.07467342788,1001054.0
21045072,구옥천,Q03A99,수산물전문음식점-종합,서울특별시,11680,강남구,1168061000,대치2동,945,11.0,서울특별시 강남구 대치동 945-11,127.062203542518,37.5073754585917,103020,445324.5220328043,205499.8351064695,1001088.0
21050419,휠라,D05A02,캐쥬얼/스포츠의류,서울특별시,11680,강남구,1168063000,대치4동,937,,서울특별시 강남구 대치동 937,127.05325256561702,37.496959928714,701002,444168.04717949784,204709.07284383397,1001071.0
21034588,감성예찬미술,R05A01,서예/서화/미술,서울특별시,11680,강남구,1168061000,대치2동,991,3.0,서울특별시 강남구 대치동 991-3,127.064324214283,37.499679229253104,203001,444470.46574772336,205687.92186087024,1000921.0
21051603,랄프로렌칠드런,D05A05,아동복판매,서울특별시,11680,강남구,1168063000,대치4동,937,,서울특별시 강남구 대치동 937,127.05325256561702,37.496959928714,701005,444168.04717949784,204709.07284383397,1001071.0
20925341,시슬리코리아현대무역센터점,D16A01,화장품판매점,서울특별시,11680,강남구,1168058000,삼성1동,159,1.0,서울특별시 강남구 삼성동 159-1,127.061012608393,37.510348492347795,504003,445654.42184687546,205394.32262422628,1001496.0
20965879,닥스골프,D05A02,캐쥬얼/스포츠의류,서울특별시,11680,강남구,1168063000,대치4동,937,,서울특별시 강남구 대치동 937,127.05325256561702,37.496959928714,701002,444168.04717949784,204709.07284383397,1001071.0
20972537,매셀프수학학원,R01A01,학원-입시,서울특별시,11680,강남구,1168061000,대치2동,994,8.0,서울특별시 강남구 대치동 994-8,127.068103139956,37.4986458524483,201001,444356.0093940096,206022.15951752753,1000921.0
20925849,니나리스양복점,D05A08,맞춤양복/양복점,서울특별시,11680,강남구,1168058000,삼성1동,159,1.0,서울특별시 강남구 삼성동 159-1,127.061012608393,37.510348492347795,701008,445654.42184687546,205394.32262422628,1001496.0
20913646,대교퓨처키즈강남도곡러닝센터,D05A05,아동복판매,서울특별시,11680,강남구,1168065600,도곡2동,527,,서울특별시 강남구 도곡동 527,127.04971383399099,37.4942013124436,701005,443861.7055734466,204396.3079136434,1001035.0
20925032,손톱이쁜날,F01A02,발/네일케어,서울특별시,11680,강남구,1168060000,대치1동,629,,서울특별시 강남구 대치동 629,127.05850774773701,37.492739924937,502001,443699.9576999955,205174.07467342788,1001054.0
20925035,대치정수학,R01A01,학원-입시,서울특별시,11680,강남구,1168060000,대치1동,629,,서울특별시 강남구 대치동 629,127.05850774773701,37.492739924937,201001,443699.9576999955,205174.07467342788,1001054.0
20957900,고도디자인미술학원,R05A01,서예/서화/미술,서울특별시,11680,강남구,1168065500,도곡1동,953,1.0,서울특별시 강남구 도곡동 953-1,127.034346682486,37.485309415609,203001,442874.2151787281,203037.71560620345,1001037.0
